seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755020223,5,0,401,,,0.007,False,False,0.0012959810010215733,0.0004586850009218324
1755020224,5,2057,2031,0.9873602333495382,safe,0.007,False,False,0.12557749100233195,8.44490023155231e-05
1755020225,5,50,45,0.9,safe,0.007,False,False,0.00044944699766347185,5.168699863133952e-05
1755020226,5,76,63,0.8289473684210527,safe,0.007,False,False,0.00035234900133218616,5.836699710926041e-05
1755020227,5,5020,4015,0.799800796812749,safe,0.007,,False,0.007039385000098264,6.335400030366145e-05
1755020228,5,2462,2231,0.9061738424045491,safe,0.007,False,False,0.04674674900161335,6.899000072735362e-05
1755020229,5,2414,2208,0.9146644573322287,safe,0.007,False,False,0.03155718399648322,6.528700032504275e-05
1755020230,5,422,361,0.8554502369668247,safe,0.007,False,False,0.0013662989986187313,5.687799784936942e-05
1755020231,5,439,422,0.9612756264236902,safe,0.007,False,False,0.0023694449992035516,5.014199996367097e-05
1755020232,5,5000,4250,0.85,safe,0.007,,False,0.00024377800218644552,4.918400009046309e-05
1755020233,5,842,721,0.8562945368171021,safe,0.007,False,False,0.0019355510012246668,4.445399827091023e-05
1755020234,5,2612,2306,0.8828483920367535,safe,0.007,False,False,0.05038956399948802,6.453899914049543e-05
1755020235,5,240,188,0.7833333333333333,safe,0.007,False,False,0.0005727579991798848,4.139299926464446e-05
1755020236,5,86,64,0.7441860465116279,safe,0.007,,False,0.0002803579991450533,4.5325999963097274e-05
1755020237,5,2812,2406,0.8556187766714083,safe,0.007,False,False,0.04609662399889203,5.8432000514585525e-05
1755020238,5,272,236,0.8676470588235294,safe,0.007,False,False,0.001553482001327211,4.828600140172057e-05
1755020239,5,2642,2321,0.8785011355034065,safe,0.007,False,False,0.019272052999440348,5.1627001084852964e-05
1755020240,5,2842,2421,0.8518648838845884,safe,0.007,False,False,0.019246231000579428,6.221700095920824e-05
1755020241,5,664,532,0.8012048192771084,safe,0.007,False,False,0.0012828040016756859,4.705500032287091e-05
1755020242,5,4004,3053,0.7624875124875125,safe,0.007,False,False,0.14618874400184723,6.254700201679952e-05
1755020243,5,23,20,0.8695652173913043,safe,0.007,False,False,0.00018867399921873584,4.511299994192086e-05
1755020244,5,860,840,0.9767441860465116,safe,0.007,,False,0.00016855600188137032,5.856000279891305e-05
1755020245,5,172,146,0.8488372093023255,safe,0.007,False,False,0.0012236799993843306,4.362300023785792e-05
1755020246,5,2424,2212,0.9125412541254125,safe,0.007,False,False,0.02922121700248681,7.995800115168095e-05
1755020247,5,292,246,0.8424657534246576,safe,0.007,False,False,0.0011259519997111056,4.564699702314101e-05
1755020248,5,94,78,0.8297872340425532,safe,0.007,False,False,0.00012278099893592298,4.261300273356028e-05
1755020249,5,100,88,0.88,safe,0.007,,False,0.00011661299868137576,4.5294000301510096e-05
1755020250,5,2540,2270,0.8937007874015748,safe,0.007,False,False,0.003088295998168178,5.758299812441692e-05
1755020251,5,2212,2106,0.9520795660036167,safe,0.007,False,False,0.05356080099954852,5.798900019726716e-05
