seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755024906,3,320,260,0.8125,safe,0.0,False,False,0.00012329700075497385,3.125600051134825e-05
1755024907,3,406,403,0.9926108374384236,safe,0.0,False,False,0.005080205999547616,0.00010272599865857046
1755024908,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.006253722000110429,4.045100104121957e-05
1755024909,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.009103520998905879,4.370900023786817e-05
1755024910,3,23,22,0.9565217391304348,safe,0.0,False,False,0.00016483899889863096,3.4100001357728615e-05
1755024911,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.009169659999315627,5.362800038710702e-05
1755024912,3,34,28,0.8235294117647058,safe,0.0,False,False,7.140300112951081e-05,2.7678999686031602e-05
1755024913,3,122,111,0.9098360655737705,safe,0.0,False,False,0.00044449300003179815,3.1895000574877486e-05
1755024914,3,214,208,0.9719626168224299,safe,0.0,False,False,0.0005380380007409258,4.364100095699541e-05
1755024915,3,3020,3010,0.9966887417218543,safe,0.0,,False,0.0006563650003954535,3.546700099832378e-05
1755024916,3,206,203,0.9854368932038835,safe,0.0,False,False,0.001235366999026155,3.1255998692358844e-05
1755024917,3,32,31,0.96875,safe,0.0,,False,0.00010870899859583005,3.0778999644098803e-05
1755024918,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.0014989840001362609,3.517599907354452e-05
1755024919,3,260,230,0.8846153846153846,safe,0.0,False,False,0.00016060999951150734,2.7079999199486338e-05
1755024920,3,222,211,0.9504504504504504,safe,0.0,False,False,0.000622985999143566,2.8102998840040527e-05
1755024921,3,144,132,0.9166666666666666,safe,0.0,False,False,0.00032041899976320565,2.940700142062269e-05
1755024922,3,124,112,0.9032258064516129,safe,0.0,False,False,0.00025715700030559674,2.954199953819625e-05
1755024923,3,2202,2101,0.9541326067211626,safe,0.0,False,False,0.008883544000127586,6.076700083212927e-05
1755024924,3,400,300,0.75,safe,0.0,False,False,5.880800017621368e-05,2.588700044725556e-05
1755024925,3,114,108,0.9473684210526315,safe,0.0,False,False,0.0002488009995431639,3.2308998925145715e-05
1755024926,3,604,602,0.9966887417218543,safe,0.0,False,False,0.0008058429993980099,3.382400063856039e-05
1755024927,3,700,550,0.7857142857142857,safe,0.0,False,False,0.00010268600090057589,2.9935999918961897e-05
1755024928,3,62,51,0.8225806451612904,safe,0.0,False,False,0.0002691649988264544,4.2784000470419414e-05
1755024929,3,2500,2250,0.9,safe,0.0,False,False,0.0002601200012577465,3.340500006743241e-05
1755024930,3,2003,2002,0.9995007488766849,safe,0.0,False,False,0.2519192549989384,0.00010399200073152315
1755024931,3,2050,2025,0.9878048780487805,safe,0.0,False,False,0.0037471139985427726,3.558100070222281e-05
1755024932,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.008474816000671126,4.292200173949823e-05
1755024933,3,70,55,0.7857142857142857,safe,0.0,False,False,0.00010316699990653433,3.480200030026026e-05
1755024934,3,124,112,0.9032258064516129,safe,0.0,False,False,0.00027445200066722464,3.106800068053417e-05
1755024935,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.000521807000041008,3.687899879878387e-05
1755024936,3,150,135,0.9,safe,0.0,False,False,0.00020611500076483935,4.6721999751753174e-05
1755024937,3,2600,2300,0.8846153846153846,safe,0.0,False,False,0.00016592199972365052,3.51329999830341e-05
1755024938,3,46,43,0.9347826086956522,safe,0.0,False,False,0.00023624000095878728,2.7645999580272473e-05
1755024939,3,2050,2025,0.9878048780487805,safe,0.0,False,False,0.00318065999999817,4.767300015373621e-05
1755024940,3,70,65,0.9285714285714286,safe,0.0,,False,8.479999996779952e-05,2.7829999453388155e-05
1755024941,3,150,135,0.9,safe,0.0,False,False,0.00020083500021428335,3.24910015478963e-05
1755024942,3,106,103,0.9716981132075472,safe,0.0,False,False,0.0004842849994020071,2.6898000214714557e-05
1755024943,3,3010,3005,0.9983388704318937,safe,0.0,False,False,0.0013463229988701642,6.0479000239865854e-05
1755024944,3,142,131,0.9225352112676056,safe,0.0,False,False,0.0006038209994585486,2.9760998586425558e-05
1755024945,3,602,501,0.8322259136212624,safe,0.0,False,False,0.0010392170006525703,2.9554001230280846e-05
1755024946,3,540,480,0.8888888888888888,safe,0.0,False,False,0.00010250000013911631,2.6871999580180272e-05
1755024947,3,800,800,1.0,safe,0.0,,False,4.232399987813551e-05,1.89260008482961e-05
1755024948,3,414,408,0.9855072463768116,safe,0.0,False,False,0.0009046279992617201,2.2075999368098564e-05
1755024949,3,444,422,0.9504504504504504,safe,0.0,False,False,0.0006617029994231416,3.330899926368147e-05
1755024950,3,520,460,0.8846153846153846,safe,0.0,False,False,0.00019893800163117703,3.008699968631845e-05
1755024951,3,2204,2102,0.9537205081669692,safe,0.0,False,False,0.003511269998853095,3.48960002156673e-05
1755024952,3,2300,2150,0.9347826086956522,safe,0.0,False,False,0.00019241299924033228,3.072499930567574e-05
1755024953,3,2140,2080,0.9719626168224299,safe,0.0,False,False,0.0004793919997609919,3.3076001273002476e-05
1755024954,3,32,26,0.8125,safe,0.0,False,False,9.611599853087682e-05,2.5081999410758726e-05
1755024955,3,212,206,0.9716981132075472,safe,0.0,False,False,0.0007645349996892037,2.7211999622522853e-05
1755024956,3,800,601,0.75125,safe,0.0,,False,0.0010620249995554332,3.1661000321037136e-05
1755024957,3,550,500,0.9090909090909091,safe,0.0,False,False,9.002600017993245e-05,2.858800144167617e-05
1755024958,3,80,80,1.0,safe,0.0,,False,5.9918000260950066e-05,2.8365000616759062e-05
1755024959,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.018042441000943654,7.458000072801951e-05
1755024960,3,8,7,0.875,safe,0.0,,False,7.867500062275212e-05,3.168900002492592e-05
1755024961,3,8,8,1.0,safe,0.0,,False,3.942299917980563e-05,1.9684999642777257e-05
1755024962,3,55,50,0.9090909090909091,safe,0.0,False,False,5.4577998525928706e-05,2.322200089110993e-05
1755024963,3,215,210,0.9767441860465116,safe,0.0,False,False,0.00021203300093475264,3.106199983449187e-05
1755024964,3,32,26,0.8125,safe,0.0,False,False,0.00012854499982495327,2.4999000743264332e-05
1755024965,3,414,408,0.9855072463768116,safe,0.0,False,False,0.0014164129988785135,3.0188999517122284e-05
1755024966,3,80,65,0.8125,safe,0.0,,False,0.0001347130000795005,3.353700049046893e-05
1755024967,3,2080,2040,0.9807692307692307,safe,0.0,False,False,0.0008065940000960836,3.073399966524448e-05
1755024968,3,304,252,0.8289473684210527,safe,0.0,False,False,0.0002684069986571558,2.414600021438673e-05
1755024969,3,250,225,0.9,safe,0.0,False,False,0.00020622399824787863,2.976399991894141e-05
1755024970,3,800,700,0.875,safe,0.0,False,False,0.00010167400068894494,2.7984000553260557e-05
1755024971,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.000914047999685863,2.903499989770353e-05
1755024972,3,204,202,0.9901960784313726,safe,0.0,False,False,0.0019763549989875173,4.2346999180153944e-05
1755024973,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.00624905599943304,4.439000076672528e-05
1755024974,3,504,452,0.8968253968253969,safe,0.0,False,False,0.0005710860004910501,2.7256999601377174e-05
1755024975,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.0042339190003986005,4.239699956087861e-05
1755024976,3,2012,2006,0.9970178926441352,safe,0.0,False,False,0.041495043000395526,4.690300011134241e-05
