seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our,finalpercent
1755016237,8,404.0,324,0.801980198019802,safe,0.029,False,False,0.0024214959994424,7.923000157461502e-05,0.0421
1755016238,8,670.0,535,0.7985074626865671,safe,0.029,False,False,0.0004391939983179,0.0011093949979112,0.0421
1755016239,8,2904.0,2453,0.8446969696969697,safe,0.029,False,False,0.1833237909995659,8.804299795883708e-05,0.0421
1755016240,8,1540.0,1120,0.7272727272727273,safe,0.029,False,False,0.0002419589982309,7.51369989302475e-05,0.0421
1755016241,8,3024.0,2512,0.8306878306878307,safe,0.029,False,False,0.2976233439985662,8.752000212552957e-05,0.0421
1755016242,8,2768.0,2394,0.8648843930635838,safe,0.029,False,False,0.0888088770007016,8.184000034816563e-05,0.0421
1755016243,8,480.0,390,0.8125,safe,0.029,False,False,0.0005055740002717,7.525000182795338e-05,0.0421
1755016244,8,1204.0,914,0.7591362126245847,safe,0.029,True,False,0.0040494099994248,0.0011461799986136,0.0421
1755016245,8,1108.0,954,0.8610108303249098,safe,0.029,False,False,0.0148765470003127,9.378500180901028e-05,0.0421
1755016246,8,2928.0,2464,0.8415300546448088,safe,0.029,False,False,0.4125483850002638,8.586200056015514e-05,0.0421
1755016247,8,427.0,364,0.8524590163934426,safe,0.029,True,False,0.0049007709967554,0.0006258989997149,0.0421
1755016248,8,730.0,550,0.7534246575342466,safe,0.029,,False,0.0002535359999455,7.797699799994007e-05,0.0421
1755016249,8,696.0,548,0.7873563218390804,safe,0.029,False,False,0.0075726650029537,7.866999658290297e-05,0.0421
1755016250,8,5170.0,4110,0.7949709864603481,safe,0.029,False,False,0.0078438189993903,8.651000098325312e-05,0.0421
1755016251,8,998.0,824,0.8256513026052105,safe,0.029,False,False,0.0039059150003595,8.138299745041877e-05,0.0421
1755016252,8,2274.0,2142,0.941952506596306,safe,0.029,False,True,0.0365876280011434,9.11189999897033e-05,0.0421
1755016253,8,2648.0,2325,0.8780211480362538,safe,0.029,False,False,0.159330767000938,8.244199852924794e-05,0.0421
1755016254,8,4440.0,3265,0.7353603603603603,safe,0.029,False,False,0.0056049539998639,5.299700205796398e-05,0.0421
1755016255,8,1006.0,725,0.7206759443339961,safe,0.029,False,False,0.0059874260005017,9.172600039164536e-05,0.0421
1755016256,8,2214.0,2117,0.9561878952122854,safe,0.029,False,False,0.1813034330007212,6.207499973243102e-05,0.0421
1755016257,8,514.0,368,0.7159533073929961,safe,0.029,False,False,0.0007303759994101,5.634400076814927e-05,0.0421
1755016258,8,2570.0,2312,0.8996108949416343,safe,0.029,False,False,0.0152648380026221,6.18779995420482e-05,0.0421
1755016259,8,2634.0,2318,0.880030372057707,safe,0.029,False,False,0.0290416459974949,0.0001073910025297,0.0421
1755016260,8,714.0,557,0.7801120448179272,safe,0.029,False,False,0.00696859099844,4.2362000385764986e-05,0.0421
1755016261,8,4740.0,3480,0.7341772151898734,safe,0.029,False,False,0.0009646719990996,4.929500209982507e-05,0.0421
1755016262,8,2468.0,2234,0.9051863857374391,safe,0.029,False,False,0.0632081360017764,6.690500231343322e-05,0.0421
1755016263,8,826.0,663,0.8026634382566586,safe,0.029,False,False,0.0055355279982904,6.479999865405262e-05,0.0421
1755016264,8,4803.0,3604,0.7503643556110764,safe,0.029,False,False,0.2128698969972902,7.790899690007791e-05,0.0421
1755016265,8,616.0,533,0.8652597402597403,safe,0.029,False,False,0.0053838399981032,4.840800102101639e-05,0.0421
1755016266,8,5650.0,4525,0.8008849557522124,safe,0.029,,False,0.003333622997161,8.800399882602505e-05,0.0421
1755016267,8,448.0,344,0.7678571428571429,safe,0.029,False,False,0.0007628700004715,6.89450025674887e-05,0.0421
1755016268,8,2462.0,2231,0.9061738424045492,safe,0.029,False,False,0.0548791359979077,7.14999987394549e-05,0.0421
1755016269,8,1290.0,1045,0.810077519379845,safe,0.029,False,False,0.0004692330003308,5.519700061995536e-05,0.0421
