seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage
1756824140,3,0,400,400,1.0,safe,0.0
1756824141,3,0,62,51,0.8225806451612904,safe,0.0
1756824142,3,0,2008,2004,0.99800796812749,safe,0.0
1756824143,3,0,400,300,0.75,safe,0.0
1756824144,3,0,2022,2011,0.9945598417408507,safe,0.0
1756824145,3,0,2500,2250,0.9,safe,0.0
1756824146,3,0,2410,2205,0.9149377593360996,safe,0.0
1756824147,3,0,2006,2003,0.9985044865403788,safe,0.0
1756824148,3,0,2014,2008,0.997020854021847,safe,0.0
1756824149,3,0,414,408,0.9855072463768116,safe,0.0
1756824150,3,0,124,112,0.9032258064516129,safe,0.0
1756824151,3,0,160,140,0.875,safe,0.0
1756824152,3,0,424,412,0.9716981132075472,safe,0.0
1756824153,3,0,190,180,0.9473684210526315,safe,0.0
1756824154,3,0,430,415,0.9651162790697675,safe,0.0
1756824155,3,0,2300,2150,0.9347826086956522,safe,0.0
1756824156,3,0,2120,2060,0.9716981132075472,safe,0.0
1756824157,3,0,430,415,0.9651162790697675,safe,0.0
1756824158,3,0,2030,2015,0.9926108374384236,safe,0.0
1756824159,3,0,604,502,0.8311258278145696,safe,0.0
1756824160,3,0,80,65,0.8125,safe,0.0
1756824161,3,0,2420,2210,0.9132231404958677,safe,0.0
1756824162,3,0,54,48,0.8888888888888888,safe,0.0
1756824163,3,0,200,180,0.9,safe,0.0
1756824164,3,0,224,212,0.9464285714285714,safe,0.0
1756824165,3,0,550,500,0.9090909090909091,safe,0.0
1756824166,3,0,122,111,0.9098360655737705,safe,0.0
1756824167,3,0,620,510,0.8225806451612904,safe,0.0
1756824168,3,0,19,18,0.9473684210526315,safe,0.0
1756824169,3,0,32,26,0.8125,safe,0.0
1756824170,3,0,2104,2052,0.9752851711026616,safe,0.0
1756824171,3,0,46,43,0.9347826086956522,safe,0.0
1756824172,3,0,144,132,0.9166666666666666,safe,0.0
1756824173,3,0,260,230,0.8846153846153846,safe,0.0
1756824174,3,0,32,31,0.96875,safe,0.0
1756824175,3,0,2150,2100,0.9767441860465116,safe,0.0
1756824176,3,0,230,220,0.9565217391304348,safe,0.0
1756824177,3,0,260,230,0.8846153846153846,safe,0.0
1756824178,3,0,104,102,0.9807692307692307,safe,0.0
1756824179,3,0,540,480,0.8888888888888888,safe,0.0
1756824180,3,0,70,55,0.7857142857142857,safe,0.0
1756824181,3,0,2022,2011,0.9945598417408507,safe,0.0
1756824182,3,0,2102,2051,0.9757373929590866,safe,0.0
1756824183,3,0,602,501,0.8322259136212624,safe,0.0
1756824184,3,0,2240,2120,0.9464285714285714,safe,0.0
1756824185,3,0,64,52,0.8125,safe,0.0
1756824186,3,0,450,425,0.9444444444444444,safe,0.0
1756824187,3,0,80,80,1.0,safe,0.0
1756824188,3,0,2104,2052,0.9752851711026616,safe,0.0
