seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755018934,10,2926,2463,0.8417634996582365,safe,0.175,8.004499977687374e-05,0.5117818360013189,0.1698
1755018935,10,2682,2341,0.8728560775540641,safe,0.175,7.930599895189516e-05,0.1691922380014148,0.1698
1755018936,10,0,943,,,0.175,6.982000195421278e-05,0.0070876409990887,0.1698
1755018937,10,2230,2116,0.9488789237668162,safe,0.175,7.991800157469697e-05,0.7148036809994665,0.1698
1755018938,10,0,4890,,,0.175,0.000133919998916,0.0036817420004808,0.1698
1755018939,10,3136,2569,0.8191964285714286,safe,0.175,9.42250007938128e-05,0.2071286550017248,0.1698
1755018940,10,0,4595,,,0.175,0.0001104540024243,0.0164745180009049,0.1698
1755018941,10,268,218,0.8134328358208955,safe,0.175,7.960299990372732e-05,0.0079415939981117,0.1698
1755018942,10,3852,2926,0.7596053997923157,safe,0.175,8.045200229389593e-05,0.1270534579998639,0.1698
1755018943,10,540,471,0.8722222222222222,safe,0.175,7.844300125725567e-05,0.0102346179992309,0.1698
1755018944,10,2480,2241,0.9036290322580646,safe,0.175,7.9878001997713e-05,0.3461775659998238,0.1698
1755018945,10,4682,3352,0.7159333618111918,safe,0.175,9.04970002011396e-05,0.2607356640000944,0.1698
1755018946,10,2736,2403,0.8782894736842105,safe,0.175,8.752299982006662e-05,0.2572842029985622,0.1698
1755018947,10,0,2141,,,0.175,0.0001081219998013,0.3656311689992435,0.1698
1755018948,10,1026,759,0.7397660818713451,safe,0.175,7.672500214539468e-05,0.0094228499983728,0.1698
1755018949,10,4820,3415,0.7085062240663901,safe,0.175,8.003300172276795e-05,0.7919332620003843,0.1698
1755018950,10,2465,2239,0.908316430020284,safe,0.175,7.75600019551348e-05,0.2884836060002271,0.1698
1755018951,10,2650,2325,0.8773584905660378,safe,0.175,8.993699884740636e-05,0.3061898759988253,0.1698
1755018952,10,4814,3523,0.7318238471125883,safe,0.175,8.068199895205908e-05,0.2151853959985601,0.1698
1755018953,10,3358,3180,0.9469922572960096,safe,0.175,8.256499859271571e-05,0.1526763710025989,0.1698
1755018954,10,1032,866,0.8391472868217055,safe,0.175,8.916699880501255e-05,0.0293834550029714,0.1698
1755018955,10,2328,2164,0.929553264604811,safe,0.175,7.49729988456238e-05,0.1815977730002487,0.1698
1755018956,10,5064,4058,0.8013428120063191,safe,0.175,7.801999890943989e-05,0.0721013490001496,0.1698
1755018957,10,2486,2253,0.9062751407884152,safe,0.175,7.996999920578673e-05,0.1998408840008778,0.1698
1755018958,10,1044,744,0.7126436781609196,safe,0.175,7.784000263200141e-05,0.0088302600015595,0.1698
1755018959,10,6428,4564,0.7100186683260734,safe,0.175,7.944599929032847e-05,0.0975607859982119,0.1698
1755018960,10,2636,2343,0.8888467374810318,safe,0.175,7.597399962833151e-05,0.2526045000013255,0.1698
1755018961,10,2954,2487,0.8419092755585647,safe,0.175,8.764199810684659e-05,0.3419813559994509,0.1698
1755018962,10,0,450,,,0.175,8.150600115186535e-05,0.0004678110017266,0.1698
1755018963,10,3356,2689,0.8012514898688915,safe,0.175,0.0001113250000344,0.3101697310012241,0.1698
1755018964,10,408,315,0.7720588235294118,safe,0.175,7.652000203961506e-05,0.0057736099988687,0.1698
1755018965,10,0,3060,,,0.175,8.247500227298588e-05,0.0031435769997187,0.1698
1755018966,10,0,750,,,0.175,0.0001333930013061,0.0142892159965413,0.1698
1755018967,10,1110,912,0.8216216216216217,safe,0.175,0.000104441998701,0.0096087460005946,0.1698
1755018968,10,4176,3102,0.742816091954023,safe,0.175,0.0001163050001196,0.824694950999401,0.1698
1755018969,10,5040,4151,0.8236111111111111,safe,0.175,0.000100797999039,0.2045155300002079,0.1698
1755018970,10,4094,3258,0.7957987298485588,safe,0.175,9.014900206238964e-05,0.0602743299969006,0.1698
1755018971,10,2804,2436,0.8687589158345221,safe,0.175,0.0001144750021921,0.1930265560004045,0.1698
1755018972,10,2920,2561,0.8770547945205479,safe,0.175,0.0001111680030589,0.7174818749990663,0.1698
1755018973,10,2914,2457,0.8431708991077557,safe,0.175,0.0001107839998439,0.4435036779977963,0.1698
1755018974,10,3484,2748,0.7887485648679678,safe,0.175,8.678400263306685e-05,0.0399073999979009,0.1698
1755018975,10,4214,3183,0.7553393450403417,safe,0.175,8.454399721813388e-05,0.2302041219991224,0.1698
1755018976,10,4830,3768,0.7801242236024845,safe,0.175,8.461700053885579e-05,0.0397011499990185,0.1698
1755018977,10,3490,3245,0.9297994269340976,safe,0.175,7.468900003004819e-05,0.0149531819988624,0.1698
1755018978,10,5480,4501,0.8213503649635037,safe,0.175,8.122999861370772e-05,0.0419524919998366,0.1698
1755018979,10,0,2449,,,0.175,7.759599975543097e-05,0.1793540059989027,0.1698
1755018980,10,490,372,0.7591836734693878,safe,0.175,7.577900032629259e-05,0.0049834140008897,0.1698
1755018981,10,3266,2633,0.8061849357011635,safe,0.175,0.0001002930002869,0.1507142830014345,0.1698
1755018982,10,2958,2490,0.8417849898580122,safe,0.175,0.0001089190009224,0.1079589660002966,0.1698
1755018983,10,2474,2238,0.904607922392886,safe,0.175,0.0001123530018958,0.1103756330012402,0.1698
1755018984,10,4212,3192,0.7578347578347578,safe,0.175,0.0001104330003727,0.5761063270001614,0.1698
1755018985,10,6010,4193,0.6976705490848586,safe,0.175,0.0001068090023181,0.2475428100005956,0.1698
1755018986,10,2974,2488,0.8365837256220578,safe,0.175,0.0001052120023814,0.0738129400015168,0.1698
1755018987,10,672,537,0.7991071428571429,safe,0.175,0.0001006519996735,0.026080820000061,0.1698
1755018988,10,5544,3784,0.6825396825396826,safe,0.175,0.0001006870006676,0.0530675650006742,0.1698
1755018989,10,2716,2359,0.8685567010309279,safe,0.175,6.353999924613163e-05,0.1716561180001008,0.1698
