seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755024184,5,2650,2325,0.8773584905660378,safe,0.037,5.209100345382467e-05,0.0053312110030674,0.0357
1755024185,5,436,419,0.9610091743119266,safe,0.037,5.390799924498424e-05,0.0078675699987798,0.0357
1755024186,5,2454,2228,0.9079054604726976,safe,0.037,5.54369980818592e-05,0.0350850729992089,0.0357
1755024187,5,334,318,0.9520958083832336,safe,0.037,5.209500159253366e-05,0.0008273780003946,0.0357
1755024188,5,500,356,0.712,safe,0.037,4.754000110551715e-05,0.0015052269991429,0.0357
1755024189,5,29,25,0.8620689655172413,safe,0.037,5.005300045013428e-05,0.000189541002328,0.0357
1755024190,5,412,356,0.8640776699029126,safe,0.037,5.413699909695424e-05,0.0014515959992422,0.0357
1755024191,5,2360,2190,0.9279661016949152,safe,0.037,4.86999997519888e-05,0.0029974239987495,0.0357
1755024192,5,2116,2059,0.973062381852552,safe,0.037,5.172199962544255e-05,0.2584730649978155,0.0357
1755024193,5,328,264,0.8048780487804879,safe,0.037,5.763000081060454e-05,0.0011913980015378,0.0357
1755024194,5,246,223,0.9065040650406504,safe,0.037,5.338000119081698e-05,0.0047904129969538,0.0357
1755024195,5,2650,2325,0.8773584905660378,safe,0.037,5.363300078897737e-05,0.0054809840003144,0.0357
1755024196,5,2210,2106,0.9529411764705882,safe,0.037,5.357600093702786e-05,0.1409404639998683,0.0357
1755024197,5,2094,2048,0.9780324737344794,safe,0.037,5.5913998949108645e-05,0.0406957800005329,0.0357
1755024198,5,446,423,0.9484304932735426,safe,0.037,5.1281000196468085e-05,0.0076554709994525,0.0357
1755024199,5,690,545,0.7898550724637681,safe,0.037,4.443799844011664e-05,0.0005688740020559,0.0357
1755024200,5,0,701,,,0.037,0.0002171630003431,0.0017914340023708,0.0357
1755024201,5,190,156,0.8210526315789474,safe,0.037,3.8907000998733565e-05,0.0011336259995005,0.0357
1755024202,5,286,243,0.8496503496503497,safe,0.037,4.388000161270611e-05,0.0015829659969313,0.0357
1755024203,5,2150,2075,0.9651162790697676,safe,0.037,4.76870009151753e-05,0.0103877090004971,0.0357
1755024204,5,622,511,0.8215434083601286,safe,0.037,4.082200030097738e-05,0.0023359779988822,0.0357
1755024205,5,2240,2122,0.9473214285714284,safe,0.037,4.465600068215281e-05,0.0121722429976216,0.0357
1755024206,5,166,159,0.9578313253012049,safe,0.037,4.494799941312522e-05,0.0006607369978155,0.0357
1755024207,5,2308,2154,0.9332755632582322,safe,0.037,4.708599954028614e-05,0.0754307300012442,0.0357
1755024208,5,504,354,0.7023809523809523,safe,0.037,4.151300163357519e-05,0.0007975890002853,0.0357
1755024209,5,346,283,0.8179190751445087,safe,0.037,5.758299812441692e-05,0.002218678000645,0.0357
1755024210,5,124,112,0.9032258064516128,safe,0.037,4.973999966750853e-05,0.003236733002268,0.0357
1755024211,5,3046,3023,0.9924491135915956,safe,0.037,6.134800059953704e-05,0.1571649680008704,0.0357
1755024212,5,54,38,0.7037037037037037,safe,0.037,4.557499778456986e-05,9.258700083591977e-05,0.0357
1755024213,5,436,419,0.9610091743119266,safe,0.037,5.461600085254759e-05,0.0191853930009529,0.0357
1755024214,5,410,355,0.8658536585365854,safe,0.037,4.640499901142903e-05,0.0002744270022958,0.0357
1755024215,5,690,545,0.7898550724637681,safe,0.037,4.681599966716021e-05,0.0005253859999356,0.0357
1755024216,5,223,212,0.9506726457399104,safe,0.037,4.114599869353697e-05,0.0027222440003242,0.0357
1755024217,5,632,516,0.8164556962025317,safe,0.037,4.321999949752353e-05,0.003503322997858,0.0357
1755024218,5,420,411,0.9785714285714284,safe,0.037,3.818199911620468e-05,0.0089222700007667,0.0357
1755024219,5,400,304,0.76,safe,0.037,4.832900231122039e-05,0.0074113910013693,0.0357
1755024220,5,466,433,0.9291845493562232,safe,0.037,4.41270021838136e-05,0.0056631250008649,0.0357
1755024221,5,2226,2113,0.949236298292902,safe,0.037,4.6000997826922685e-05,0.1470514600005117,0.0357
1755024222,5,2710,2355,0.8690036900369004,safe,0.037,5.00960013596341e-05,0.003029860999959,0.0357
1755024223,5,40,31,0.775,safe,0.037,4.607599839800969e-05,0.0001418619976902,0.0357
1755024224,5,4200,3200,0.7619047619047619,safe,0.037,4.4301999878371134e-05,0.0043555390002438,0.0357
1755024225,5,2432,2216,0.9111842105263158,safe,0.037,4.2292002035537735e-05,0.0887784309998096,0.0357
1755024226,5,904,652,0.7212389380530974,safe,0.037,4.261300273356028e-05,0.0008979689991974,0.0357
1755024227,5,2164,2092,0.966728280961183,safe,0.037,4.695299867307767e-05,0.0232243909995304,0.0357
1755024228,5,724,612,0.8453038674033149,safe,0.037,0.0001342670002486,0.0011935770016862,0.0357
1755024229,5,616,509,0.8262987012987013,safe,0.037,4.5746000978397205e-05,0.0087589860013395,0.0357
1755024230,5,280,240,0.8571428571428571,safe,0.037,4.646500019589439e-05,0.000356840002496,0.0357
1755024231,5,2910,2455,0.8436426116838488,safe,0.037,4.581699977279641e-05,0.0037344009979278,0.0357
1755024232,5,2264,2132,0.941696113074205,safe,0.037,5.3767002100357786e-05,0.0193791480014624,0.0357
1755024233,5,250,225,0.9,safe,0.037,4.436599920154549e-05,0.0003926909994333,0.0357
1755024234,5,2170,2095,0.9654377880184332,safe,0.037,5.432599937194027e-05,0.0104141250012617,0.0357
1755024235,5,5200,4150,0.7980769230769231,safe,0.037,6.031500015524216e-05,0.0003659069989225,0.0357
1755024236,5,204,188,0.9215686274509804,safe,0.037,5.459100066218525e-05,0.0009627030012779,0.0357
1755024237,5,2542,2281,0.8973249409913454,safe,0.037,4.270000135875307e-05,0.0440716939992853,0.0357
1755024238,5,2036,2019,0.9916502946954814,safe,0.037,4.203000207780861e-05,0.1675605160016857,0.0357
1755024239,5,444,382,0.8603603603603603,safe,0.037,4.378399898996577e-05,0.0004436939998413,0.0357
1755024240,5,4006,3013,0.7521218172740889,safe,0.037,4.5916000090073794e-05,0.1961011960011092,0.0357
1755024241,5,259,232,0.8957528957528957,safe,0.037,4.298500061850064e-05,0.0007345949998125,0.0357
1755024242,5,760,590,0.7763157894736842,safe,0.037,4.157199873588979e-05,0.0002424640006211,0.0357
1755024243,5,2068,2034,0.983558994197292,safe,0.037,4.177899973001331e-05,0.0819173800009593,0.0357
1755024244,5,2322,2161,0.9306632213608956,safe,0.037,4.314599937060848e-05,0.0669153740018373,0.0357
1755024245,5,4110,3058,0.7440389294403893,safe,0.037,5.4052998166298494e-05,0.0305572420002135,0.0357
1755024246,5,640,520,0.8125,safe,0.037,4.952499875798821e-05,0.0009853980009211,0.0357
1755024247,5,348,284,0.8160919540229885,safe,0.037,4.828300006920472e-05,0.0009506839996902,0.0357
1755024248,5,3000,2601,0.867,safe,0.037,5.909500032430515e-05,0.0150526060024276,0.0357
1755024249,5,632,516,0.8164556962025317,safe,0.037,6.502399992314167e-05,0.0049434949978603,0.0357
1755024250,5,2232,2116,0.9480286738351256,safe,0.037,6.402899816748686e-05,0.231324714000948,0.0357
1755024251,5,2560,2290,0.89453125,safe,0.037,5.3452000429388136e-05,0.0029135099975974,0.0357
1755024252,5,2132,2066,0.9690431519699813,safe,0.037,5.051200059824623e-05,0.0844989309989614,0.0357
1755024253,5,282,243,0.8617021276595744,safe,0.037,4.982799873687327e-05,0.0060871589994349,0.0357
1755024254,5,2264,2132,0.941696113074205,safe,0.037,0.0001121759996749,0.0416094760003034,0.0357
1755024255,5,482,441,0.9149377593360996,safe,0.037,4.857200110564008e-05,0.0040474740017089,0.0357
1755024256,5,2264,2132,0.941696113074205,safe,0.037,5.022800178267062e-05,0.0237305539994849,0.0357
1755024257,5,642,521,0.8115264797507789,safe,0.037,5.142999725649133e-05,0.0030714159984199,0.0357
1755024258,5,61,53,0.8688524590163934,safe,0.037,4.79340014862828e-05,0.0003137459971185,0.0357
1755024259,5,406,323,0.7955665024630542,safe,0.037,0.000111717999971,0.0021085670014144,0.0357
1755024260,5,2174,2112,0.97148114075437,safe,0.037,4.8924001021077856e-05,0.0249090709985466,0.0357
1755024261,5,2252,2126,0.94404973357016,safe,0.037,4.812100087292493e-05,0.0700561339981504,0.0357
1755024262,5,2650,2325,0.8773584905660378,safe,0.037,6.319000021903776e-05,0.0053655970004911,0.0357
1755024263,5,654,528,0.8073394495412844,safe,0.037,5.059700197307393e-05,0.002189761999034,0.0357
1755024264,5,2170,2095,0.9654377880184332,safe,0.037,5.3030998969916254e-05,0.0101229409992811,0.0357
1755024265,5,3034,3018,0.994726433750824,safe,0.037,5.45129987585824e-05,0.0400484480014711,0.0357
1755024266,5,380,320,0.8421052631578947,safe,0.037,4.654100121115334e-05,0.0001209299989568,0.0357
1755024267,5,3320,3160,0.9518072289156626,safe,0.037,5.370600047172047e-05,0.0058710470002552,0.0357
1755024268,5,3154,3102,0.9835129993658844,safe,0.037,5.489300019689836e-05,0.0190988649992505,0.0357
1755024269,5,40,31,0.775,safe,0.037,5.816299744765274e-05,0.0001959689980139,0.0357
1755024270,5,2710,2355,0.8690036900369004,safe,0.037,6.21879989921581e-05,0.0041841759993985,0.0357
1755024271,5,150,135,0.9,safe,0.037,5.0085000111721456e-05,0.0029861560033168,0.0357
1755024272,5,2470,2245,0.9089068825910932,safe,0.037,6.207999831531197e-05,0.0072777589994075,0.0357
