seed,num_tasks,per_jitter,chain_type,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1751634423,10,0.3,min_period,0,2697.1687552984113,,,0.8
1751634423,10,0.4,asc,0,2831.5830371340344,,,0.9
1751634423,10,0.4,desc,3151.1999999999994,2831.5830371340344,0.8985729363842456,safe,0.8
1751634423,10,0.4,max_period,3151.1999999999994,2831.5830371340344,0.8985729363842456,safe,0.7
1751634423,10,0.4,min_period,0,2831.5830371340344,,,0.9
1751634423,10,0.5,asc,0,3025.941549955187,,,1.0
1751634423,10,0.5,desc,0,3025.941549955187,,,0.9
1751634423,10,0.5,max_period,0,3025.941549955187,,,0.9
1751634423,10,0.5,min_period,0,3025.941549955187,,,1.0
1751634424,3,0,asc,154.5094413241142,153.92667489208952,0.996228279469329,safe,0.0
1751634424,3,0,desc,154.5094413241142,153.92667489208952,0.996228279469329,safe,0.0
1751634424,3,0,max_period,154.5094413241142,153.92667489208952,0.996228279469329,safe,0.0
1751634424,3,0,min_period,154.5094413241142,153.92667489208952,0.996228279469329,safe,0.0
1751634424,3,0.02,asc,155.5294413241142,154.93300423014625,0.9961651177494748,safe,0.0
1751634424,3,0.02,desc,155.5294413241142,154.93300423014625,0.9961651177494748,safe,0.0
1751634424,3,0.02,max_period,155.5294413241142,154.93300423014625,0.9961651177494748,safe,0.0
1751634424,3,0.02,min_period,155.5294413241142,154.93300423014625,0.9961651177494748,safe,0.0
1751634424,3,0.05,asc,157.05944132411418,156.60268927217476,0.9970918523070711,safe,0.0
1751634424,3,0.05,desc,157.0594413241142,156.60268927217476,0.997091852307071,safe,0.0
1751634424,3,0.05,max_period,157.05944132411418,156.60268927217476,0.9970918523070711,safe,0.0
1751634424,3,0.05,min_period,157.0594413241142,156.60268927217476,0.997091852307071,safe,0.0
1751634424,3,0.1,asc,0,208.4448645675484,,,0.1
1751634424,3,0.1,desc,0,208.4448645675484,,,0.2
1751634424,3,0.1,max_period,0,208.4448645675484,,,0.2
1751634424,3,0.1,min_period,0,208.4448645675484,,,0.1
1751634424,3,0.2,asc,0,213.6746606347806,,,0.2
1751634424,3,0.2,desc,0,213.6746606347806,,,0.4
1751634424,3,0.2,max_period,0,213.6746606347806,,,0.4
1751634424,3,0.2,min_period,0,213.6746606347806,,,0.2
1751634424,3,0.3,asc,0,217.42404736637673,,,0.3
1751634424,3,0.3,desc,0,217.42404736637673,,,0.5
1751634424,3,0.3,max_period,0,217.42404736637673,,,0.5
1751634424,3,0.3,min_period,0,217.42404736637673,,,0.3
1751634424,3,0.4,asc,0,221.94794232686763,,,0.5
1751634424,3,0.4,desc,0,221.94794232686763,,,0.6
1751634424,3,0.4,max_period,0,221.94794232686763,,,0.6
1751634424,3,0.4,min_period,0,221.94794232686763,,,0.5
1751634424,3,0.5,asc,0,227.23912432056352,,,0.6
1751634424,3,0.5,desc,0,227.23912432056352,,,0.6
1751634424,3,0.5,max_period,0,227.23912432056352,,,0.6
1751634424,3,0.5,min_period,0,227.23912432056352,,,0.6
1751634424,5,0,asc,994.5016418317217,856.0035580792647,0.8607361939620688,safe,0.1
1751634424,5,0,desc,994.5016418317217,856.0035580792647,0.8607361939620688,safe,0.1
1751634424,5,0,max_period,994.5016418317217,856.0035580792647,0.8607361939620688,safe,0.1
1751634424,5,0,min_period,994.5016418317217,856.0035580792647,0.8607361939620688,safe,0.1
1751634424,5,0.02,asc,1000.5216418317217,956.8652325483345,0.956366351852757,safe,0.1
1751634424,5,0.02,desc,1000.5216418317217,956.8652325483345,0.956366351852757,safe,0.1
1751634424,5,0.02,max_period,1000.5216418317217,956.8652325483345,0.956366351852757,safe,0.1
1751634424,5,0.02,min_period,1000.5216418317217,956.8652325483345,0.956366351852757,safe,0.1
1751634424,5,0.05,asc,0,958.1974324405019,,,0.2
1751634424,5,0.05,desc,0,958.1974324405019,,,0.2
1751634424,5,0.05,max_period,0,958.1974324405019,,,0.2
1751634424,5,0.05,min_period,0,958.1974324405019,,,0.2
1751634424,5,0.1,asc,0,960.4248161058731,,,0.3
1751634424,5,0.1,desc,0,960.4248161058731,,,0.3
1751634424,5,0.1,max_period,0,960.4248161058731,,,0.3
1751634424,5,0.1,min_period,0,960.4248161058731,,,0.3
1751634424,5,0.2,asc,0,964.687633886615,,,0.3
1751634424,5,0.2,desc,0,964.687633886615,,,0.3
1751634424,5,0.2,max_period,0,964.687633886615,,,0.3
1751634424,5,0.2,min_period,0,964.687633886615,,,0.3
1751634424,5,0.3,asc,0,1014.5837870279247,,,0.4
1751634424,5,0.3,desc,0,1014.5837870279247,,,0.5
1751634424,5,0.3,max_period,0,1014.5837870279247,,,0.4
1751634424,5,0.3,min_period,0,1014.5837870279247,,,0.4
1751634424,5,0.4,asc,0,1023.1549654084993,,,0.5
1751634424,5,0.4,desc,0,1023.1549654084993,,,0.6
1751634424,5,0.4,max_period,0,1023.1549654084993,,,0.5
1751634424,5,0.4,min_period,0,1023.1549654084993,,,0.6
1751634424,5,0.5,asc,0,1049.289905428086,,,0.6
1751634424,5,0.5,desc,0,1049.289905428086,,,0.6
1751634424,5,0.5,max_period,0,1049.289905428086,,,0.6
1751634424,5,0.5,min_period,0,1049.289905428086,,,0.7
1751634424,8,0,asc,5141.9986517897205,4910.924318111454,0.9550613780114784,safe,0.2
1751634424,8,0,desc,5141.998651789721,4910.924318111454,0.9550613780114782,safe,0.1
1751634424,8,0,max_period,5141.9986517897205,4910.924318111454,0.9550613780114784,safe,0.2
1751634424,8,0,min_period,5141.9986517897205,4910.924318111454,0.9550613780114784,safe,0.2
1751634424,8,0.02,asc,5163.25865178972,5128.87427597072,0.9933405668516953,safe,0.3
1751634424,8,0.02,desc,5163.25865178972,5128.87427597072,0.9933405668516953,safe,0.2
1751634424,8,0.02,max_period,5163.25865178972,5128.87427597072,0.9933405668516953,safe,0.3
1751634424,8,0.02,min_period,5163.25865178972,5128.87427597072,0.9933405668516953,safe,0.3
1751634424,8,0.05,asc,5195.148651789719,5156.343171269276,0.9925304388533571,safe,0.3
1751634424,8,0.05,desc,5195.14865178972,5156.343171269276,0.9925304388533569,safe,0.2
1751634424,8,0.05,max_period,5195.148651789719,5156.343171269276,0.9925304388533571,safe,0.3
1751634424,8,0.05,min_period,5195.148651789719,5156.343171269276,0.9925304388533571,safe,0.3
